,precision,recall,f1-score,support
apple,0.9667774086378738,0.917981072555205,0.941747572815534,317.0
avocado,0.9621212121212122,0.9769230769230769,0.9694656488549618,260.0
banana,0.9645669291338582,0.9607843137254902,0.962671905697446,510.0
carrot,0.9728682170542635,0.9296296296296296,0.9507575757575758,270.0
grapes,0.9758064516129032,0.9738430583501007,0.9748237663645518,497.0
kiwi,0.9719887955182073,0.9830028328611898,0.9774647887323944,353.0
lemon,0.9106699751861043,0.8843373493975903,0.8973105134474327,415.0
mango,0.9479166666666666,0.9405684754521964,0.9442282749675746,387.0
orange,0.9165613147914032,0.9415584415584416,0.928891736066624,770.0
pear,0.970873786407767,0.970873786407767,0.970873786407767,206.0
pomegranate,0.9437229437229437,0.9498910675381264,0.9467969598262758,459.0
strawberry,0.9954022988505747,0.9954022988505747,0.9954022988505747,435.0
tomato,0.9701280227596017,0.9884057971014493,0.9791816223977028,690.0
watermelon,0.968944099378882,0.9719626168224299,0.9704510108864697,321.0
accuracy,0.9568760611205432,0.9568760611205432,0.9568760611205432,0.9568760611205432
macro avg,0.9598820087030188,0.9560831297980906,0.9578619615052062,5890.0
weighted avg,0.956947976619248,0.9568760611205432,0.9568033089515184,5890.0
